Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C1,C4,C9,C5",4,1uF,0603,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,,,,,,
"C3,C2",2,4.7uF,0603,CL10A475KO8NNNC,Samsung Electro-Mechanics,C19666,,,,,,
C7,1,22uF,0805,CL21A226MAQNNNE,Samsung Electro-Mechanics,C45783,,,,,,
"C12,C10,C11,C6,C8",5,100nF,0603,CC0603KRX7R9BB104,Yageo,C14663,,,,,,
C13,1,10uF,0805,CL21A106KAYNNNE,Samsung Electro-Mechanics,C15850,,,,,,
D1,1,USBLC6-2SC6,SOT-23-6,USBLC6-2SC6,STMicroelectronics,C2687116,,,,,,
D2,1,Charging,0603,XL-1608SURC-06,XLSEMI (Chenzhixin),C965799,,,,,,
D3,1,Power,0603,XL-1608UGC-04,XLSEMI (Chenzhixin),C965804,,,,,,
D4,1,PESD5V0S1UL,SOD-882,PESD5V0S1UL,Nexperia,C85402,,,,,,
J1,1,USB-C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12,Korean Hroparts Elec,C165948,,,,,,
J2,1,Battery,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,S2B-PH-SM4-TB(LF)(SN),JST,C295747,,,,,,
J3,1,Qwiic GPS (I2C),PinHeader_1x04_P2.54mm_Vertical,PZ254V-11-04P,BOOMELE,C2691448,,,,,,
J4,1,microSD,microSD_HC_Molex_104031-0811,104031-0811,Molex,C585350,,,,,,
J5,1,UART Debug,PinHeader_1x04_P2.54mm_Vertical,PZ254V-11-04P,BOOMELE,C2691448,,,,,,
J6,1,e-Paper (steckbar) 8p,PinHeader_1x08_P2.54mm_Vertical,PZ254V-11-08P,BOOMELE,C492407,,,,,,
"R2,R1",2,5.1k,0603,0603WAF5101T5E,Uniroyal Elec,C23186,,,,,,
R3,1,2k,0603,0603WAF2001T5E,Uniroyal Elec,C22975,,,,,,
"R5,R4",2,1k,0603,0603WAF1001T5E,Uniroyal Elec,C21190,,,,,,
"R7,R6",2,1M,0603,0603WAF1004T5E,Uniroyal Elec,C22935,,,,,,
"R9,R14,R15,R13,R12,R8",6,10k,0603,0603WAF1002T5E,Uniroyal Elec,C25804,,,,,,
"R10,R11",2,4.7k,0603,0603WAF4701T5E,Uniroyal Elec,C23162,,,,,,
SW1,1,PWR,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,DSWB01LHGET,DECIGN,C126888,,,,,,
SW2,1,RESET,SW_SPST_B3U-1000P,B3U-1000P,Omron,C231329,,,,,,
SW3,1,BOOT,SW_SPST_B3U-1000P,B3U-1000P,Omron,C231329,,,,,,
U1,1,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1-N8,Espressif Systems,C2913198,,,,,,
U2,1,MCP73831T-2ACI/OT,SOT-23-5,MCP73831T-2ACI/OT,Microchip Technology,C424093,,,,,,
U3,1,AP2112K-3.3,SOT-23-5,AP2112K-3.3TRG1,Diodes Incorporated,C23380830,,,,,,
U4,1,WSEN-ISDS,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,2536030320001,Wuerth Elektronik,,,,https://www.we-online.com/components/products/datasheet/2536030320001.pdf,,,
